Year,CollegeName,Branch,Category,ClosingRank
2020,1 E001 University Visveswariah College of Engineering Bangalore,CE Civil,1G,17449
2020,1 E001 University Visveswariah College of Engineering Bangalore,CE Civil,1R,18116
2020,1 E001 University Visveswariah College of Engineering Bangalore,CE Civil,2AG,19351
2020,1 E001 University Visveswariah College of Engineering Bangalore,CE Civil,2AK,20184
2020,1 E001 University Visveswariah College of Engineering Bangalore,CE Civil,2AR,20978
2020,1 E001 University Visveswariah College of Engineering Bangalore,CE Civil,2BG,19402
2020,1 E001 University Visveswariah College of Engineering Bangalore,CE Civil,2BR,26568
2020,1 E001 University Visveswariah College of Engineering Bangalore,CE Civil,3AG,13963
2020,1 E001 University Visveswariah College of Engineering Bangalore,CE Civil,3AR,17386
2020,1 E001 University Visveswariah College of Engineering Bangalore,CE Civil,3BG,18003
2020,1 E001 University Visveswariah College of Engineering Bangalore,CE Civil,3BR,18513
2020,1 E001 University Visveswariah College of Engineering Bangalore,CE Civil,GM,13273
2020,1 E001 University Visveswariah College of Engineering Bangalore,CE Civil,GMK,14891
2020,1 E001 University Visveswariah College of Engineering Bangalore,CE Civil,GMR,17226
2020,1 E001 University Visveswariah College of Engineering Bangalore,CE Civil,SCG,22682
2020,1 E001 University Visveswariah College of Engineering Bangalore,CE Civil,SCK,27416
2020,1 E001 University Visveswariah College of Engineering Bangalore,CE Civil,SCR,26086
2020,1 E001 University Visveswariah College of Engineering Bangalore,CE Civil,STG,17403
2020,1 E001 University Visveswariah College of Engineering Bangalore,CS Computers,1G,3481
2020,1 E001 University Visveswariah College of Engineering Bangalore,CS Computers,1R,4395
2020,1 E001 University Visveswariah College of Engineering Bangalore,CS Computers,2AG,3692
2020,1 E001 University Visveswariah College of Engineering Bangalore,CS Computers,2AK,6152
2020,1 E001 University Visveswariah College of Engineering Bangalore,CS Computers,2AR,4045
2020,1 E001 University Visveswariah College of Engineering Bangalore,CS Computers,2BG,2935
2020,1 E001 University Visveswariah College of Engineering Bangalore,CS Computers,3AG,1795
2020,1 E001 University Visveswariah College of Engineering Bangalore,CS Computers,3AR,3623
2020,1 E001 University Visveswariah College of Engineering Bangalore,CS Computers,3BG,2133
2020,1 E001 University Visveswariah College of Engineering Bangalore,CS Computers,GM,1577
2020,1 E001 University Visveswariah College of Engineering Bangalore,CS Computers,GMK,2625
2020,1 E001 University Visveswariah College of Engineering Bangalore,CS Computers,GMR,3310
2020,1 E001 University Visveswariah College of Engineering Bangalore,CS Computers,SCG,9093
2020,1 E001 University Visveswariah College of Engineering Bangalore,CS Computers,SCK,10275
2020,1 E001 University Visveswariah College of Engineering Bangalore,CS Computers,SCR,12516
